ctrl,variable,block_path,pin,direction,note
H11,HpOTHeatExOutFarSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INO,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_25.IN -> OR_25 -> VOTE_1.IN15
H11,HpOTHeatExOutNearSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INP,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_26.IN -> OR_26 -> VOTE_1.IN16
H11,HpOTHeatExOutFarSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INQ,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_27.IN -> OR_27 -> VOTE_1.IN17
H11,HpOTHeatExOutNearSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INR,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_28.IN -> OR_28 -> VOTE_1.IN18
H11,HpOTHeatExOutFarSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INS,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_29.IN -> OR_29 -> VOTE_1.IN19
H11,HpOTHeatExOutNearSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INT,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_30.IN -> OR_30 -> VOTE_1.IN20
H11,PRO_HpOTHeatExOutTemp2Hi,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,OUT,O,tool cross-reference 2026-09-24: VOTE_1.OUT (M=4) -> OUT
H11,HpOTHeatExOutFarSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INA,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_11.IN -> OR_11 -> VOTE_1.IN1
H11,HpOTHeatExOutNearSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INB,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_12.IN -> OR_12 -> VOTE_1.IN2
H11,HpOTHeatExOutFarSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INC,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_13.IN -> OR_13 -> VOTE_1.IN3
H11,HpOTHeatExOutNearSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,IND,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_14.IN -> OR_14 -> VOTE_1.IN4
H11,HpOTHeatExOutFarSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INE,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_15.IN -> OR_15 -> VOTE_1.IN5
H11,HpOTHeatExOutNearSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INF,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_16.IN -> OR_16 -> VOTE_1.IN6
H11,HpOTHeatExOutFarSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,ING,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_17.IN -> OR_17 -> VOTE_1.IN7
H11,HpOTHeatExOutNearSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INH,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_18.IN -> OR_18 -> VOTE_1.IN8
H11,HpOTHeatExOutFarSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INI,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_19.IN -> OR_19 -> VOTE_1.IN9
H11,HpOTHeatExOutNearSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INJ,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_20.IN -> OR_20 -> VOTE_1.IN10
H11,HpOTHeatExOutFarSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INK,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_21.IN -> OR_21 -> VOTE_1.IN11
H11,HpOTHeatExOutNearSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INL,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_22.IN -> OR_22 -> VOTE_1.IN12
H11,HpOTHeatExOutFarSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INM,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_23.IN -> OR_23 -> VOTE_1.IN13
H11,HpOTHeatExOutNearSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INN,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_24.IN -> OR_24 -> VOTE_1.IN14
H11,HpOTHeatExOutFarSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INO,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_25.IN -> OR_25 -> VOTE_1.IN15
H11,HpOTHeatExOutNearSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INP,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_26.IN -> OR_26 -> VOTE_1.IN16
H11,HpOTHeatExOutFarSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INQ,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_27.IN -> OR_27 -> VOTE_1.IN17
H11,HpOTHeatExOutNearSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INR,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_28.IN -> OR_28 -> VOTE_1.IN18
H11,HpOTHeatExOutFarSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INS,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_29.IN -> OR_29 -> VOTE_1.IN19
H11,HpOTHeatExOutNearSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INT,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_30.IN -> OR_30 -> VOTE_1.IN20
H11,PRO_HpOTHeatExOutTempHi,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,OUT,O,inferred: the only other voter in the task and the variable has no other writer; VOTE_1.OUT -> OUT
H12,HpOTHeatExOutFarSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INA,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_11.IN -> OR_11 -> VOTE_1.IN1"
H12,HpOTHeatExOutNearSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INB,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_12.IN -> OR_12 -> VOTE_1.IN2"
H12,HpOTHeatExOutFarSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INC,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_13.IN -> OR_13 -> VOTE_1.IN3"
H12,HpOTHeatExOutNearSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,IND,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_14.IN -> OR_14 -> VOTE_1.IN4"
H12,HpOTHeatExOutFarSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INE,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_15.IN -> OR_15 -> VOTE_1.IN5"
H12,HpOTHeatExOutNearSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INF,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_16.IN -> OR_16 -> VOTE_1.IN6"
H12,HpOTHeatExOutFarSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,ING,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_17.IN -> OR_17 -> VOTE_1.IN7"
H12,HpOTHeatExOutNearSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INH,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_18.IN -> OR_18 -> VOTE_1.IN8"
H12,HpOTHeatExOutFarSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INI,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_19.IN -> OR_19 -> VOTE_1.IN9"
H12,HpOTHeatExOutNearSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INJ,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_20.IN -> OR_20 -> VOTE_1.IN10"
H12,HpOTHeatExOutFarSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INK,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_21.IN -> OR_21 -> VOTE_1.IN11"
H12,HpOTHeatExOutNearSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INL,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_22.IN -> OR_22 -> VOTE_1.IN12"
H12,HpOTHeatExOutFarSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INM,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_23.IN -> OR_23 -> VOTE_1.IN13"
H12,HpOTHeatExOutNearSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INN,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_24.IN -> OR_24 -> VOTE_1.IN14"
H12,HpOTHeatExOutFarSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INO,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_25.IN -> OR_25 -> VOTE_1.IN15"
H12,HpOTHeatExOutNearSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INP,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_26.IN -> OR_26 -> VOTE_1.IN16"
H12,HpOTHeatExOutFarSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INQ,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_27.IN -> OR_27 -> VOTE_1.IN17"
H12,HpOTHeatExOutNearSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INR,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_28.IN -> OR_28 -> VOTE_1.IN18"
H12,HpOTHeatExOutFarSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INS,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_29.IN -> OR_29 -> VOTE_1.IN19"
H12,HpOTHeatExOutNearSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INT,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_30.IN -> OR_30 -> VOTE_1.IN20"
H12,PRO_HpOTHeatExOutTemp2Hi,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,OUT,O,"mirrored from H11 (same library instance), not opened in the tool; VOTE_1.OUT (M=4) -> OUT"
H12,HpOTHeatExOutFarSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INA,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_11.IN -> OR_11 -> VOTE_1.IN1"
H12,HpOTHeatExOutNearSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INB,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_12.IN -> OR_12 -> VOTE_1.IN2"
H12,HpOTHeatExOutFarSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INC,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_13.IN -> OR_13 -> VOTE_1.IN3"
H12,HpOTHeatExOutNearSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,IND,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_14.IN -> OR_14 -> VOTE_1.IN4"
H12,HpOTHeatExOutFarSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INE,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_15.IN -> OR_15 -> VOTE_1.IN5"
H12,HpOTHeatExOutNearSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INF,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_16.IN -> OR_16 -> VOTE_1.IN6"
H12,HpOTHeatExOutFarSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,ING,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_17.IN -> OR_17 -> VOTE_1.IN7"
H12,HpOTHeatExOutNearSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INH,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_18.IN -> OR_18 -> VOTE_1.IN8"
H12,HpOTHeatExOutFarSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INI,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_19.IN -> OR_19 -> VOTE_1.IN9"
H12,HpOTHeatExOutNearSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INJ,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_20.IN -> OR_20 -> VOTE_1.IN10"
H12,HpOTHeatExOutFarSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INK,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_21.IN -> OR_21 -> VOTE_1.IN11"
H12,HpOTHeatExOutNearSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INL,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_22.IN -> OR_22 -> VOTE_1.IN12"
H12,HpOTHeatExOutFarSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INM,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_23.IN -> OR_23 -> VOTE_1.IN13"
H12,HpOTHeatExOutNearSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INN,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_24.IN -> OR_24 -> VOTE_1.IN14"
H12,HpOTHeatExOutFarSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INO,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_25.IN -> OR_25 -> VOTE_1.IN15"
H12,HpOTHeatExOutNearSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INP,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_26.IN -> OR_26 -> VOTE_1.IN16"
H12,HpOTHeatExOutFarSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INQ,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_27.IN -> OR_27 -> VOTE_1.IN17"
H12,HpOTHeatExOutNearSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INR,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_28.IN -> OR_28 -> VOTE_1.IN18"
H12,HpOTHeatExOutFarSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INS,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_29.IN -> OR_29 -> VOTE_1.IN19"
H12,HpOTHeatExOutNearSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INT,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_30.IN -> OR_30 -> VOTE_1.IN20"
H12,PRO_HpOTHeatExOutTempHi,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,OUT,O,inferred: the only other voter in the task and the variable has no other writer; mirrored from H11; VOTE_1.OUT -> OUT
H11,HpOTHeatExOutNearSideTemp6_AI,HardwireInputs_1/HW_ISC_HEATEX/AI_INT_153,IN,I,tool cross-reference 2026-09-24: confirms the recovered (pair) pin; direction kept from it; inside -> STATUS_SPLIT_2.IN (STATUS -> EXPAND_1 -> AND_77 -> SELECT_1.SEL1 -> DEVICE_STATUS; VALUE -> SC.IN); same circuit as the plaintext AI_INT_83
H11,ai_HpOTHeatExOutNearSideTemp6,HardwireInputs_1/HW_ISC_HEATEX/AI_INT_153,OUT,O,tool cross-reference 2026-09-24: confirms the recovered (pair) pin; direction kept from it; inside -> MOVE_1.DEST (SC.OUT -> MOVE_1.IN -> DEST = OUT; DEVICE_STATUS -> SC.IN_S)
H11,HpOTHeatExOutNearSideTemp6_DS,HardwireInputs_1/HW_ISC_HEATEX/AI_INT_153,DEVICE_STATUS,O,"tool logic sheet 2026-09-24: confirms the recovered (pair) pin; direction kept from it; drawn on the task sheet with IN <- _AI, OUT -> ai_, Enable = TRUE (constant, not indexed); inside <- SELECT_1 (status constant-limit check)"
H11,HpOTHeatExOutFarSideTemp1_AI,HardwireInputs_1/HW_ISC_HEATEX/AI_INT_45,IN,I,"inferred 2026-09-24: same macro AI_INT, same version V01.00.05C, same naming pair as AI_INT_153 whose IN/OUT/DEVICE_STATUS were confirmed on the tool sheet; not opened in the tool; inside -> STATUS_SPLIT_2.IN"
